children_1.txt;Три четверти;Анна Красильщик;12;Детская проза|Детские книги
children_2.txt;Повести и рассказы;Аркадий Гайдар;12;Детская проза|Детские книги
children_3.txt;Оленёнок Крапинка, или Бархатистый носик;Холли Вебб;6;Детская проза|Детские книги
children_4.txt;Сара и роль мечты;Холли Вебб;6;Детская проза|Детские книги
children_5.txt;Как Гитлер украл розового кролика;Джудит Керр;6;Детская проза|Детские книги
children_6.txt;Вместе весело шагать. Сборник;Коллектив авторов;6;Детская проза|Детские книги
children_7.txt;В каждом времени – свои герои;Геннадий Волобуев;12;Детская проза|Детские книги
children_8.txt;Молния;Антея Симмонс;12;Детская проза|Детские книги
children_9.txt;Школа принцесс. Вот так принц!;Прунелла Бат;6;Детская проза|Детские книги
children_10.txt;#ДругЗаДруга. Книга о дружбе животных и людей;Кристина Кретова;6;Детская проза|Детские книги
children_11.txt;Как я под партой сидел. Веселые школьные рассказы и повести;Виктор Голявкин;16;Детская проза|Детские книги
children_12.txt;Рассказы про Россию. 1861—1922;Мариэтта Чудакова;12;Детская проза|Детские книги
children_13.txt;Приключения Трисона в Альпах;Михаил Самарский;12;Детская проза|Детские книги
children_14.txt;Волчье небо. 1944 год;Юлия Яковлева;12;Детская проза|Детские книги
children_15.txt;Любопытный воробей и кот Тимофей;Михаил Фишельман;6;Детская проза|Детские книги
children_16.txt;Истории для девочек (сборник);Лидия Чарская;6;Детская проза|Детские книги
children_17.txt;Утёнок Счастливчик, или Настоящий герой;Хелен Питерс;6;Детская проза|Детские книги
children_18.txt;Овечка Зефирка, или Чудесное спасение;Хелен Питерс;6;Детская проза|Детские книги
children_19.txt;Поросёнок Пуговка, или Счастливый случай;Хелен Питерс;6;Детская проза|Детские книги
children_20.txt;Гроза двенадцатого года. Рассказы для детей об Отечественной войне 1812 года;Владимир Дмитриев;12;Детская проза|Детские книги
children_21.txt;Пассажир последнего рейса;Роберт Штильмарк;12;Детская проза|Детские книги
children_22.txt;Креативный «пятый альфа»;Ирина Асеева;6;Детская проза|Детские книги
children_23.txt;Сказки снежного ветра;Холли Вебб;6;Детская проза|Детские книги
children_24.txt;Лама – подружка невесты;Белла Свифт;6;Детская проза|Детские книги
children_25.txt;Мопс, который мечтал стать единорогом;Белла Свифт;6;Детская проза|Детские книги
children_26.txt;Дай лапу! Большая книга добрых историй;Холли Вебб;6;Детская проза|Детские книги
children_27.txt;Старый дом и его обитатели;Ирина Безуглая;16;Детская проза|Детские книги
children_28.txt;Сказ о трех веселых девчонках;Ирина Безуглая;16;Детская проза|Детские книги
children_29.txt;Тигрёнок Васька;Ольга Перовская;6;Детская проза|Детские книги
children_30.txt;Хитрый бурундук;Геннадий Снегирев;6;Детская проза|Детские книги
children_31.txt;Весёлые истории;Коллектив авторов;6;Детская проза|Детские книги
children_32.txt;Звёздная Река;Грейс Лин;6;Детская проза|Детские книги
children_33.txt;Когда море стало серебряным;Грейс Лин;6;Детская проза|Детские книги
children_34.txt;КриБ,или Красное и белое в жизни тайного пионера Вити Молоткова;Марк Олейник;12;Детская проза|Детские книги
children_35.txt;Большая книга рождественских рассказов;Владимир Зоберн;12;Детская проза|Детские книги
children_36.txt;Зимние сказки и рождественские предания;Сборник;6;Детская проза|Детские книги
children_37.txt;Фото на развалинах;Светлана Пономарева;16;Детская проза|Детские книги
children_38.txt;Приключения по контракту;Михаил Логинов;12;Детская проза|Детские книги
children_39.txt;Литеродура;Юлия Линде;12;Детская проза|Детские книги
children_40.txt;Слушай птиц;Виктория Лебедева;12;Детская проза|Детские книги
children_41.txt;Про Дуньку, которую знали все;Надежда Васильева;16;Детская проза|Детские книги
children_42.txt;Лягушонок Ливерпуль;Лион Измайлов;12;Детская проза|Детские книги
children_43.txt;Лёвушка;Анатолий Крым;6;Детская проза|Детские книги
children_44.txt;Забавные рассказы;Татьяна Кюне;6;Детская проза|Детские книги
children_45.txt;Битвы по средам;Гэри Шмидт;12;Детская проза|Детские книги
children_46.txt;Сказочная суматоха;Ольга Гуревич;6;Детская проза|Детские книги
children_47.txt;Чудесный камень Маюрми;Дарья Донцова;6;Детская проза|Детские книги
children_48.txt;Жизнь Амаль;Аиша Саид;12;Детская проза|Детские книги
children_49.txt;Тридцать три несчастья. Том 4. Занавес опускается;Лемони Сникет;12;Детская проза|Детские книги
children_50.txt;Лампёшка;Аннет Схап;6;Детская проза|Детские книги
children_51.txt;Привет! Это я… (не оставляй меня снова одну…);Нина Грёнтведт;12;Детская проза|Детские книги
children_52.txt;Бронза и Подсолнух;Цао Вэньсюань;16;Детская проза|Детские книги
children_53.txt;Чудак из пятого «Б»;Владимир Железников;6;Детская проза|Детские книги
children_54.txt;Алфи и зимние чудеса;Рейчел Уэллс;16;Детская проза|Детские книги
children_55.txt;На два голоса;Марина Дробкова;12;Детская проза|Детские книги
children_56.txt;Рассказы о животных;Михаил Пришвин;6;Детская проза|Детские книги
children_57.txt;Песня для кита;Линн Келли;12;Детская проза|Детские книги
